city,El Paso,San Antonio,Houston,Amarillo,Dallas,Austin,Jackson,Laredo,Tulsa,Lubbock,Las Vegas,Midland,McAllen,Denver,Albuquerque,Los Angeles,Oklahoma City,Phoenix,New Orleans,Wichita
El Paso,-1,809,1080,-1,880,851,-1,-1,-1,-1,937,-1,-1,896,-1,1140,-1,560,-1,-1
San Antonio,809,-1,306,716,400,-1,-1,-1,782,-1,1720,-1,-1,1289,-1,1940,676,1365,817,-1
Houston,1080,306,-1,857,360,240,569,476,740,740,1980,688,485,1380,1200,2220,664,1635,480,898
Amarillo,-1,716,857,-1,538,-1,-1,-1,-1,-1,1208,-1,-1,574,-1,-1,-1,962,-1,-1
Dallas,880,400,360,538,-1,300,-1,640,380,480,1700,504,742,1040,945,2000,280,1400,720,547
Austin,851,-1,240,-1,300,-1,-1,-1,673,535,1760,-1,-1,1240,991,1975,579,1400,740,-1
Jackson,-1,-1,569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1566,-1,-1,-1,-1,-1,-1
Laredo,-1,-1,476,-1,640,-1,-1,-1,-1,-1,2136,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tulsa,-1,782,740,-1,380,673,-1,-1,-1,-1,1720,-1,-1,885,-1,2060,-1,1500,-1,-1
Lubbock,-1,-1,740,-1,480,535,-1,-1,-1,-1,1180,-1,-1,739,-1,-1,-1,949,-1,-1
Las Vegas,937,1720,1980,1208,1700,1760,-1,2163,1720,1180,-1,1290,1949,1000,778,380,1580,412,2420,1580
Midland,-1,-1,688,-1,504,-1,-1,-1,-1,-1,1290,-1,-1,900,-1,-1,-1,950,-1,-1
McAllen,-1,-1,485,-1,742,-1,-1,-1,-1,-1,1949,-1,-1,-1,-1,1311,-1,-1,-1,-1
Denver,896,1289,1380,574,1040,1240,1566,-1,885,739,1000,900,-1,-1,537,1380,797,969,1709,675
Albuquerque,-1,-1,1200,-1,945,991,-1,-1,-1,-1,778,-1,-1,537,-1,1090,-1,529,-1,-1
Los Angeles,1140,1940,2220,-1,2000,1975,-1,-1,2060,-1,380,-1,1311,1380,1090,-1,1901,575,2688,-1
Oklahoma City,-1,676,664,-1,280,579,-1,-1,-1,-1,1580,-1,-1,797,-1,1901,-1,1352,-1,-1
Phoenix,560,1365,1635,962,1400,1400,-1,-1,15000,949,412,950,-1,969,529,575,1352,-1,2117,1875
New Orleans,-1,817,480,-1,720,740,-1,-1,-1,-1,2420,-1,-1,1709,-1,2688,-1,2117,-1,-1
Wichita,-1,-1,898,-1,547,-1,-1,-1,-1,-1,1580,-1,-1,675,-1,-1,-1,1875,-1,-1